MD;GR;DRX
5334.63;15.41;
5334.78;17.76;
5334.93;19.49;
5335.09;19.44;
5335.24;17.98;
5335.39;16.11;
5335.54;15.29;
5335.70;16.94;
5335.85;19.42;
5336.00;22.20;
5336.15;25.21;
5336.31;28.03;
5336.46;32.27;
5336.61;38.57;
5336.76;42.03;
5336.91;38.25;
5337.07;28.10;
5337.22;18.98;
5337.37;16.10;
5337.52;14.51;
5337.68;14.48;
5337.83;15.69;
5337.98;17.46;
5338.13;21.60;
5338.29;23.44;
5338.44;25.39;
5338.59;24.09;
5338.74;25.97;
5338.90;28.77;
5339.05;31.62;
5339.20;29.88;
5339.35;25.93;
5339.51;25.22;
5339.66;28.87;
5339.81;34.25;
5339.96;34.79;
5340.12;29.53;
5340.27;22.87;
5340.42;19.08;
5340.57;17.13;
5340.72;15.82;
5340.88;15.41;
5341.03;16.08;
5341.18;17.04;
5341.33;16.56;
5341.49;19.29;
5341.64;22.08;
5341.79;23.83;
5341.94;23.33;
5342.10;22.56;
5342.25;22.35;
5342.40;22.45;
5342.55;25.51;
5342.71;32.53;
5342.86;35.83;
5343.01;34.07;
5343.16;29.53;
5343.32;25.11;
5343.47;20.78;
5343.62;17.63;
5343.77;19.11;
5343.93;23.40;
5344.08;29.17;
5344.23;34.88;
5344.38;35.55;
5344.53;31.50;
5344.69;25.38;
5344.84;22.85;
5344.99;21.89;
5345.14;20.28;
5345.30;22.32;
5345.45;23.66;
5345.60;25.17;
5345.75;22.98;
5345.91;21.75;
5346.06;20.85;
5346.21;21.35;
5346.36;22.74;
5346.52;24.70;
5346.67;24.76;
5346.82;24.17;
5346.97;22.54;
5347.13;23.05;
5347.28;22.91;
5347.43;22.77;
5347.58;21.98;
5347.74;21.59;
5347.89;21.43;
5348.04;21.18;
5348.19;19.97;
5348.34;21.49;
5348.50;25.75;
5348.65;33.09;
5348.80;37.79;
5348.95;36.26;
5349.11;34.50;
5349.26;34.44;
5349.41;33.20;
5349.56;30.41;
5349.72;26.59;
5349.87;28.36;
5350.02;29.91;
5350.17;31.17;
5350.33;29.59;
5350.48;29.18;
5350.63;27.91;
5350.78;26.59;
5350.94;24.47;
5351.09;23.37;
5351.24;24.46;
5351.39;26.02;
5351.55;31.28;
5351.70;39.40;
5351.85;46.51;
5352.00;45.49;
5352.15;39.24;
5352.31;33.37;
5352.46;29.19;
5352.61;27.27;
5352.76;24.69;
5352.92;25.17;
5353.07;25.16;
5353.22;24.53;
5353.37;23.26;
5353.53;22.86;
5353.68;21.16;
5353.83;20.23;
5353.98;20.50;
5354.14;25.58;
5354.29;30.39;
5354.44;35.28;
5354.59;37.56;
5354.75;41.03;
5354.90;43.62;
5355.05;45.79;
5355.20;47.44;
5355.36;46.44;
5355.51;42.44;
5355.66;35.56;
5355.81;31.30;
5355.96;32.24;
5356.12;39.83;
5356.27;44.64;
5356.42;44.45;
5356.57;40.90;
5356.73;37.61;
5356.88;36.91;
5357.03;35.85;
5357.18;38.66;
5357.34;43.79;
5357.49;49.39;
5357.64;50.77;
5357.79;48.28;
5357.95;44.77;
5358.10;48.71;
5358.25;54.25;
5358.40;57.87;
5358.56;57.24;
5358.71;52.67;
5358.86;47.33;
5359.01;43.87;
5359.17;57.91;
5359.32;76.35;
5359.47;84.78;
5359.62;77.17;
5359.77;67.15;
5359.93;62.98;
5360.08;57.76;
5360.23;48.39;
5360.38;38.51;
5360.54;31.62;
5360.69;28.62;
5360.84;29.37;
5360.99;29.96;
5361.15;31.15;
5361.30;28.66;
5361.45;27.33;
5361.60;26.12;
5361.76;29.42;
5361.91;31.44;
5362.06;32.95;
5362.21;32.90;
5362.37;35.13;
5362.52;38.94;
5362.67;41.13;
5362.82;40.81;
5362.98;37.87;
5363.13;33.19;
5363.28;31.53;
5363.43;37.55;
5363.58;53.24;
5363.74;63.95;
5363.89;66.61;
5364.04;59.40;
5364.19;51.62;
5364.35;47.01;
5364.50;46.63;
5364.65;47.60;
5364.80;43.60;
5364.96;36.31;
5365.11;31.49;
5365.26;27.94;
5365.41;27.04;
5365.57;27.03;
5365.72;29.72;
5365.87;36.06;
5366.02;44.55;
5366.18;51.21;
5366.33;53.51;
5366.48;53.94;
5366.63;58.45;
5366.79;57.74;
5366.94;53.26;
5367.09;42.58;
5367.24;34.55;
5367.39;29.07;
5367.55;27.94;
5367.70;28.21;
5367.85;29.69;
5368.00;29.77;
5368.16;30.38;
5368.31;30.35;
5368.46;31.32;
5368.61;34.15;
5368.77;35.26;
5368.92;35.81;
5369.07;32.88;
5369.22;31.32;
5369.38;29.82;
5369.53;30.91;
5369.68;31.61;
5369.83;33.48;
5369.99;33.08;29.3
5370.14;32.42;
5370.29;31.02;
5370.44;30.16;
5370.60;32.37;
5370.75;34.41;
5370.90;36.87;
5371.05;40.38;
5371.20;43.74;
5371.36;46.03;
5371.51;44.92;
5371.66;43.94;
5371.81;42.23;
5371.97;36.94;
5372.12;31.10;
5372.27;27.66;
5372.42;26.03;
5372.58;24.80;
5372.73;24.98;
5372.88;27.90;
5373.03;32.46;
5373.19;34.28;
5373.34;33.07;
5373.49;29.26;
5373.64;25.04;
5373.80;22.40;
5373.95;20.46;
5374.10;21.12;
5374.25;23.63;
5374.41;29.80;
5374.56;37.68;
5374.71;42.34;
5374.86;42.33;
5375.01;37.04;
5375.17;32.66;
5375.32;31.22;
5375.47;33.79;
5375.62;37.21;
5375.78;37.42;
5375.93;34.55;
5376.08;32.92;
5376.23;34.82;
5376.39;41.32;
5376.54;47.86;
5376.69;47.96;
5376.84;43.67;
5377.00;35.48;
5377.15;29.56;
5377.30;26.63;
5377.45;26.61;
5377.61;27.56;
5377.76;27.54;
5377.91;29.58;
5378.06;32.56;
5378.22;34.38;
5378.37;34.64;
5378.52;36.35;
5378.67;39.43;
5378.82;44.10;
5378.98;47.33;
5379.13;50.20;
5379.28;47.86;
5379.43;45.26;
5379.59;44.97;
5379.74;44.25;
5379.89;46.22;
5380.04;40.88;
5380.20;36.20;
5380.35;28.38;
5380.50;24.31;
5380.65;23.77;
5380.81;25.19;
5380.96;27.39;
5381.11;28.07;
5381.26;29.22;
5381.42;33.21;
5381.57;35.44;
5381.72;34.17;
5381.87;30.16;
5382.03;30.51;
5382.18;31.53;
5382.33;33.00;
5382.48;39.31;
5382.63;50.48;
5382.79;58.35;
5382.94;54.69;
5383.09;45.34;
5383.24;41.30;
